Sample,Iteration,Kernel,Accuracy,C,Gamma
S2,33,linear,0.9473684210526315,215.44346900318823,0.004641588833612777
S2,33,rbf,0.935672514619883,1000.0,46.41588833612773
S2,33,poly,0.9473684210526315,1000.0,0.004641588833612777
S2,34,linear,0.9649122807017544,0.021544346900318832,0.001
S2,34,rbf,0.631578947368421,0.004641588833612777,0.004641588833612777
S2,34,poly,0.7894736842105263,0.1,2.154434690031882
S2,35,linear,0.9649122807017544,10.0,0.021544346900318832
S2,35,rbf,0.935672514619883,1000.0,46.41588833612773
S2,35,poly,0.7894736842105263,0.1,1000.0
S2,36,linear,0.9473684210526315,0.46415888336127775,46.41588833612773
S2,36,rbf,0.935672514619883,1000.0,215.44346900318823
S2,36,poly,0.7894736842105263,0.1,2.154434690031882
S2,37,linear,0.9473684210526315,0.46415888336127775,0.001
S2,37,rbf,0.935672514619883,46.41588833612773,1000.0
S2,37,poly,0.9649122807017544,46.41588833612773,2.154434690031882
S2,38,linear,0.935672514619883,0.001,0.1
S2,38,rbf,0.631578947368421,0.001,46.41588833612773
S2,38,poly,0.9298245614035088,2.154434690031882,2.154434690031882
S2,39,linear,0.9473684210526315,1000.0,0.004641588833612777
S2,39,rbf,0.9649122807017544,0.46415888336127775,215.44346900318823
S2,39,poly,0.9415204678362573,215.44346900318823,0.46415888336127775
S2,40,linear,0.9473684210526315,1000.0,2.154434690031882
S2,40,rbf,0.8654970760233918,0.021544346900318832,1000.0
S2,40,poly,0.6783625730994152,0.004641588833612777,0.004641588833612777
S2,41,linear,0.9649122807017544,0.021544346900318832,215.44346900318823
S2,41,rbf,0.935672514619883,46.41588833612773,0.46415888336127775
S2,41,poly,0.7894736842105263,0.1,10.0
S2,42,linear,0.9473684210526315,215.44346900318823,46.41588833612773
S2,42,rbf,0.9590643274853801,0.1,10.0
S2,42,poly,0.9473684210526315,1000.0,1000.0
S2,43,linear,0.9649122807017544,10.0,0.004641588833612777
S2,43,rbf,0.9590643274853801,2.154434690031882,0.46415888336127775
S2,43,poly,0.7134502923976608,0.021544346900318832,0.1
S2,44,linear,0.9473684210526315,1000.0,2.154434690031882
S2,44,rbf,0.9590643274853801,2.154434690031882,215.44346900318823
S2,44,poly,0.6374269005847953,0.001,46.41588833612773
S2,45,linear,0.9590643274853801,46.41588833612773,0.46415888336127775
S2,45,rbf,0.935672514619883,215.44346900318823,0.021544346900318832
S2,45,poly,0.9649122807017544,46.41588833612773,1000.0
S2,46,linear,0.9473684210526315,215.44346900318823,0.1
S2,46,rbf,0.935672514619883,1000.0,0.004641588833612777
S2,46,poly,0.9590643274853801,10.0,0.46415888336127775
S2,47,linear,0.9649122807017544,0.021544346900318832,0.1
S2,47,rbf,0.9590643274853801,2.154434690031882,0.001
S2,47,poly,0.9415204678362573,215.44346900318823,46.41588833612773
S2,48,linear,0.9473684210526315,0.46415888336127775,2.154434690031882
S2,48,rbf,0.9532163742690059,10.0,2.154434690031882
S2,48,poly,0.7894736842105263,0.1,46.41588833612773
S2,49,linear,0.9649122807017544,10.0,0.021544346900318832
S2,49,rbf,0.935672514619883,1000.0,0.004641588833612777
